Index,continent,country,city,name,latitude,longitude,website,extra,is_vineyard,grape_variety,source
0,EU,Russian Federation,Anapa,Vinoteka Shato Andre,44.89496,37.32258,https://www.chateauandre.ru/,,False,,
1,EU,Russian Federation,Anapa,Family winery Roman Antonenko,44.95772,37.29131,https://antonenko-wine.ru/,1293,False,,
2,EU,Russian Federation,Anapa,Vinogradniki Gay-Kodzora,44.89293,37.3238,http://gai-kodzor.ru/,,False,,
3,EU,Russian Federation,Anapa,Vinnoye Podvor'ye Starogo Greka,45.00151,37.2811,,,False,,
4,EU,Russian Federation,Anapa,Family winery Hip,44.8931,37.31279,,,False,,
5,EU,Russian Federation,Anapa,Gai Kodzor,44.84011,37.43142,http://www.gai-kodzor.ru/,,False,,
6,EU,Russian Federation,Anapa,Скалистый Берег (Côte Rocheuse),44.83011,37.35874,http://skbereg.ru/,,False,,
7,EU,Russian Federation,Anapa,Semeynaya Vinodel'nya Antonenko,44.89717,37.30373,https://antonenko-wine.ru/,1293,False,,
8,EU,Russian Federation,Anapa,Semeynaya Vinodel'nya I Syrovarnya Val'ma,44.89817,37.323,,,False,,
9,EU,Russian Federation,Anapa,Semeynaya Vinodel'nya Antonenko,44.89572,37.31642,https://antonenko-wine.ru/,1293,False,,
10,EU,Russian Federation,Anapa,Vinodel'nya Berdyayeva,44.9817,37.31264,http://wineber.ru/,,False,,
11,EU,Russian Federation,Anapa,Semeynaya Vinodel'nya Antonenko,44.96005,37.28877,https://antonenko-wine.ru/,1293,False,,
12,EU,Russian Federation,Anapa,Semeynaya Vinodel'nya Antonenko,44.89884,37.32212,https://antonenko-wine.ru/,1293,False,,
13,EU,Russian Federation,Anapa,Semeynaya Vinodel'nya,44.95213,37.29749,https://antonenko-wine.ru/,1293,False,,
14,EU,Russian Federation,Anapa,Chateau Tamagne,44.93796,37.31497,https://chateautamagne.ru/,170;1;0;95,False,,
15,EU,Russian Federation,Anapa,Vinodel'nya Marchenko,44.89339,37.45599,http://www.marchenkowine.ru/,,False,,
16,EU,Russian Federation,Anapa,Semeynaya Vinodel'nya Tabiya,44.97397,37.27124,,,False,,
17,EU,Russian Federation,Anapa,Shumrinka. Vinodel'nya,44.85014,37.43836,https://shumrinkawine.ru/,,False,,
18,EU,Russian Federation,Anapa,Dolina,44.90031,37.32674,https://dolina-wine.ru/,,False,,
19,EU,Russian Federation,Anapa,Pervomajskij Winery,45.11859,37.43003,,,False,,
20,EU,Russian Federation,Anapa,"Avtorskaya Kollektsiya Vin ""Aslanidis I Synov'ya""",45.00302,37.27929,,,False,,
21,EU,Russian Federation,Anapa,Aratti,44.98148,37.26894,https://aratti.ru/,,False,,
22,EU,Russian Federation,Central Kuban,"Wine Club ""ChateauTamagne""",45.03344,38.971,https://chateautamagne.ru/,170;1;0;95,False,,
23,EU,Russian Federation,Central Kuban,Taman Chateau,45.03343,38.97101,https://chateautamagne.ru/,170;1;0;95,False,,
24,EU,Russian Federation,Central Kuban,VALERY ZAHARIN,45.04304,39.05162,http://valeryzaharin.com/,,False,,
25,EU,Russian Federation,Central Kuban,ООО «ГунькоВВ»,45.05566,39.01012,,,False,,
26,EU,Russian Federation,Central Kuban,Vysokiy Bereg,45.03344,38.97098,http://vysokiyberegwine.ru/,,False,,
27,EU,Russian Federation,Derbent,ООО «Агролайн»,42.08138,48.27925,http://oooagrolain.ru/,,False,,
28,EU,Russian Federation,Gelendzhik,Semeynaya Vinodel'nya I Syrovarnya Val'ma,44.65188,37.9373,,,False,,
29,EU,Russian Federation,Gelendzhik,,44.54259,38.08761,http://chateaudetalu.ru/,,True,,api
30,EU,Russian Federation,Gelendzhik,Vinogradniki Shato De Talyu,44.54579,38.08395,https://chateaudetalu.ru/,,False,,
31,EU,Russian Federation,Gelendzhik,Shato De Talyu,44.63005,38.01602,https://chateaudetalu.ru/,,False,,
32,EU,Russian Federation,Gelendzhik,Manor Divnomorskoe,44.51586,38.12454,http://usadbadivnomorskoe.ru/,,False,,
33,EU,Russian Federation,Gelendzhik,Vinogradniki Moskovskoy Patriarkhii,44.48544,38.13877,http://wikimapia.org/33205441/ru/%D0%A2%D0%B5%D1%80%D1%80%D0%B8%D1%82%D0%BE%D1%80%D0%B8%D1%8F-%D0%BF%D0%BE%D0%B4-%D0%98%D0%96%D0%A1,,False,,
34,EU,Russian Federation,Krymsk,Gunko Winery,44.87474,37.85777,,,False,,
35,EU,Russian Federation,Krymsk,Semeynaya Vinodel'nya Shato Andre,45.02671,37.62227,https://chateauandre.ru/,,False,,
36,EU,Russian Federation,Krymsk,Dolina Lefkadiya,44.94428,37.87294,,,False,,
37,EU,Russian Federation,Kuban,Krymskiy Vinzavod,44.93005,37.98585,http://www.kvz1926.ru/,,False,,
38,EU,Russian Federation,Kuban,"Abinsk-Agro, Ooo",44.8321,38.2961,,,False,,
39,EU,Russian Federation,Novorossiysk,Kantina,44.866,37.46304,,,False,,
40,EU,Russian Federation,Novorossiysk,"Ooo,, Loza""",44.80253,37.398,,,False,,
41,EU,Russian Federation,Novorossiysk,,44.88379,37.61755,http://sikory.ru/,,True,,api
42,EU,Russian Federation,Novorossiysk,,44.83835,37.51441,http://sort.wine/,,True,,api
43,EU,Russian Federation,Novorossiysk,Тристория,44.86969,37.62416,https://winery-500.business.site/?utm_source=gmb&utm_medium=referral,,False,,
44,EU,Russian Federation,Novorossiysk,Myskhako,44.65884,37.75605,http://www.myskhako.ru/,,False,,
45,EU,Russian Federation,Novorossiysk,Усадьба Мысхако,44.68384,37.70865,,,False,,
46,EU,Russian Federation,Taman,"The winery ""Chateau Taman""",45.21937,36.74852,https://chateautamagne.ru/,170;1;0;95,False,,
